nid,type,language,uid,status,created,changed,comment,promote,moderate,sticky,tnid,translate,vid,revision_uid,title,body,teaser,revision_timestamp,format,name,picture,data,path,field_date['0']['value'],field_date['0']['timezone'],field_date['0']['timezone_db'],field_date['0']['date_type'],field_image['0'],signup,has_body,last_comment_timestamp,last_comment_name,comment_count,uuid,revision_uuid,is_new,timestamp,menu['link_title'],menu['mlid'],menu['plid'],menu['menu_name'],menu['weight'],menu['module'],menu['expanded'],menu['hidden'],menu['has_children'],menu['customized'],menu['parent_depth_limit'],files['150']->fid,files['150']->uid,files['150']->filename,files['150']->filepath,files['150']->filemime,files['150']->filesize,files['150']->status,files['150']->timestamp,files['150']->nid,files['150']->vid,files['150']->description,files['150']->list,files['150']->weight,files['150']->new,files['150']->node_export_file_data,files['141']->fid,files['141']->uid,files['141']->filename,files['141']->filepath,files['141']->filemime,files['141']->filesize,files['141']->status,files['141']->timestamp,files['141']->nid,files['141']->vid,files['141']->description,files['141']->list,files['141']->weight,files['141']->new,files['141']->node_export_file_data
256,news,ru,1,1,1349516122,1349630856,2,1,0,0,0,0,264,1,Планы на завтра,"<p>Завтра (7 октября) у Drupal-клуба 2 большие и важные задачи:</p><p>1. Будем общаться с сообществом meetup.by по поводу будущего Drupal-слёта в 13:30. Место - кафе Coffee On (<span class=""st"">Суражская, 4</span>).</p><p>2. Далее в 15:30 продолжим день уже на базе Фаланстера (Захарова 77а, пом 1, ком. 2б) созданием сайта Слёта.</p><p>Скоро начало третьего сезона. Вливайся в движение клуба!</p>","<p>Завтра (7 октября) у Drupal-клуба 2 большие и важные задачи:</p><p>1. Будем общаться с сообществом meetup.by по поводу будущего Drupal-слёта в 13:30. Место - кафе Coffee On (<span class=""st"">Суражская, 4</span>).</p><p>2. Далее в 15:30 продолжим день уже на базе Фаланстера (Захарова 77а, пом 1, ком. 2б) созданием сайта Слёта.</p><p>Скоро начало третьего сезона. Вливайся в движение клуба!</p>",1349522000,2,admin,sites/default/files/pictures/picture-1.jpg,"a:5:{s:13:""form_build_id"";s:37:""form-5bec586b83c4fe39bc7b4bd40c1fdde4"";s:7:""contact"";i:0;s:14:""picture_delete"";i:0;s:14:""picture_upload"";s:0:"""";s:5:""block"";a:1:{s:13:""gmap_location"";a:1:{i:0;i:1;}}}",news/256,2012-10-05T21:00:00,Europe/Minsk,UTC,date,NULL,0,1,1349516122,NULL,0,497f224a-10a4-11e2-9a9e-00304862f90a,FALSE,FALSE,1349630856,,0,0,menu-drupal-zliot,0,menu,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,news,,1,1,1348731455,1349630856,2,1,0,0,0,0,263,1,Drupal-клуб у линуксоидов,"<p><strong>Drupal-клуб в субботу, 29 сентября, с 15.00 посетит минскую линуксовку. Расскажет про себя и задаст вопросы линукс-гуру. </strong></p><p>Мероприятие состоится по адресу ул. Филимонова, 15, комната 316 (3 этаж, от лестницы прямо и направо).</p><p>Программа мероприятия:<br />а) непринуждённые разговоры о Free / Open Source Software;<br />б) Linux в быту, на учёбе и в кровавом энтерпрайзе;<br />в) <a href=""http://perlrussia.ru/lightningtalks/mjd/"">Ligthning Talks</a>&nbsp;&ndash; блиц-выступления по 5 мин;<br />г) Linux/BSD Install and Troubleshooting Party.</p><p>+ Блицы, мини-доклады, throubleshooting party&nbsp;</p><p>Вопросы, которые будет поднимать Drupal-клуб:</p><p>- звук и железо на debian и ubuntu: микрофон порой поднимается, порой &ndash; нет;<br />- иногда слетает wifi в debian;<br />- приложения adobe: как лучше поднимать?;<br />- восстановление удалённых файлов: какой софт лучше использовать?;<br />- чистое удаление файлов;<br />- какое gpg-десктопное приложение лучше использовать?</p><p>Подробнее <a href=""http://mlug.linux.by/?p=191"">здесь</a>.</p><p>Все неравнодушные к линукс: приходите и смотрите!</p>","<p><strong>Drupal-клуб в субботу, 29 сентября, с 15.00 посетит минскую линуксовку. Расскажет про себя и задаст вопросы линукс-гуру. </strong></p><p>Мероприятие состоится по адресу ул. Филимонова, 15, комната 316 (3 этаж, от лестницы прямо и направо).</p><p>Программа мероприятия:<br />а) непринуждённые разговоры о Free / Open Source Software;<br />б) Linux в быту, на учёбе и в кровавом энтерпрайзе;<br />в) <a href=""http://perlrussia.ru/lightningtalks/mjd/"">Ligthning Talks</a>&nbsp;&ndash; блиц-выступления по 5 мин;<br />г) Linux/BSD Install and Troubleshooting Party.</p>",1348735460,2,admin,sites/default/files/pictures/picture-1.jpg,"a:5:{s:13:""form_build_id"";s:37:""form-5bec586b83c4fe39bc7b4bd40c1fdde4"";s:7:""contact"";i:0;s:14:""picture_delete"";i:0;s:14:""picture_upload"";s:0:"""";s:5:""block"";a:1:{s:13:""gmap_location"";a:1:{i:0;i:1;}}}",news/255,2012-09-26T21:00:00,Europe/Minsk,UTC,date,NULL,0,1,1348765511,,1,4998ba34-10a4-11e2-9a9e-00304862f90a,FALSE,FALSE,1349630856,,0,0,menu-drupal-zliot,0,menu,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,news,ru,1,1,1348408862,1349630857,2,1,0,0,0,0,262,1,Программа третьего сезона,<p>Обсуждаем и дополняем программу третьего сезона http://bit.ly/ON7DY4</p><p>Финальная программа будет готова к началу октября.</p>,<p>Обсуждаем и дополняем программу третьего сезона http://bit.ly/ON7DY4</p><p>Финальная программа будет готова к началу октября.</p>,1348408862,2,admin,sites/default/files/pictures/picture-1.jpg,"a:5:{s:13:""form_build_id"";s:37:""form-5bec586b83c4fe39bc7b4bd40c1fdde4"";s:7:""contact"";i:0;s:14:""picture_delete"";i:0;s:14:""picture_upload"";s:0:"""";s:5:""block"";a:1:{s:13:""gmap_location"";a:1:{i:0;i:1;}}}",news/254,2012-09-22T21:00:00,Europe/Minsk,UTC,date,NULL,0,1,1348408862,NULL,0,499fd6d4-10a4-11e2-9a9e-00304862f90a,FALSE,FALSE,1349630857,,0,0,menu-drupal-zliot,0,menu,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,news,ru,1,1,1348311838,1349630857,2,1,0,0,0,0,261,1,Это нужно было видеть! Отчёт с Глобального Дня изучения Drupal,"<p><strong>Как 14 сентября прошёл 2й Global Learning Drupal Day в Drupal-клубе? Читайте!</strong></p><p>Ближе к шести часам собираются желающие посмотреть и прикоснуться к Drupal. Начали ровно в 18:00. Погружаться в технические детали сейчас нет большого смысла . Это нужно было видеть! Работали 4 часа, с небольшими перерывами. В результате получили готовый на 90% блог - <a href=""http://pirates.by"" target=""_blank"">pirates.by</a>. Допилили его уже в течение этой недели.&nbsp;</p><p>Применяли технологии для командной работы: git, drush, IDE, skype, <a href=""http://cacoo.com"">cacoo.com</a>, <a href=""http://trello.com"">trello.com</a>.</p><p><img alt="""" src=""/sites/default/files/custom_images/news/drupal_day_1.jpg"" style=""width: 268px; height: 400px; margin: 10px; "" /></p><p><strong>Какие выводы можно сделать?</strong> При развёртывании несложного приложения на Drupal основное время забирает проектирование и темизация. Сборка проходит очень быстро, и заняла у нас около 1,5 часа.</p><p><img alt="""" src=""/sites/default/files/custom_images/news/drupal_day_2.jpg"" style=""width: 400px; height: 268px; margin: 10px; "" /></p><p>После завершения пятничного четырёхчасового минихакатона разыграли среди участников Drupal-атрибутику с Мюнхенской Конференции и ушли отдыхать. Многие оставшиеся до конца зрители хотели продолжения. Продолжение будет!</p><p>Сейчас активно готовится начало третьего сезона. Программу можно дополнять и комментировать в <a href=""https://docs.google.com/document/d/1QDHfi7h2NgIuX_8bRW_yS5tTn2cOsKYcZZeNrq92rZ0/edit"">открытом документе</a>.</p>","<p><strong>Как 14 сентября прошёл 2й Global Learning Drupal Day в Drupal-клубе? Читайте!</strong></p><p>Ближе к шести часам собираются желающие посмотреть и прикоснуться к Drupal. Начали ровно в 18:00. Погружаться в технические детали сейчас нет большого смысла . Это нужно было видеть! Работали 4 часа, с небольшими перерывами. В результате получили готовый на 90% блог - <a href=""http://pirates.by"" target=""_blank"">pirates.by</a>. Допилили его уже в течение этой недели.&nbsp;</p>",1348406308,2,admin,sites/default/files/pictures/picture-1.jpg,"a:5:{s:13:""form_build_id"";s:37:""form-5bec586b83c4fe39bc7b4bd40c1fdde4"";s:7:""contact"";i:0;s:14:""picture_delete"";i:0;s:14:""picture_upload"";s:0:"""";s:5:""block"";a:1:{s:13:""gmap_location"";a:1:{i:0;i:1;}}}",news/253,2012-09-21T21:00:00,Europe/Minsk,UTC,date,NULL,0,1,1348311838,,0,49a56c16-10a4-11e2-9a9e-00304862f90a,FALSE,FALSE,1349630857,,0,0,menu-drupal-zliot,0,menu,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,news,ru,1,1,1347891793,1349630857,2,1,0,0,0,0,260,1,Вторая линуксовка в Drupal-клубе,"<p>Время идёт. Накапливаются вопросы, которые можно решать самому или которые можно решить вместе. Завтра 18 сентября Друпал-клуб собирается для линукс-вечеринки в Фаланстере.</p><p>Вопросы на повестке дня:</p><ol><li>Горячие клавиши на разных языках</li><li>Не обновляется FireFox</li><li>В скайпе не стабильно работает звук</li><li>Не сохраняются настройки IDE Eclipse</li><li>Как сделать кэширование ssh ключей</li><li>Востановление удалённых файлов</li><li>Restricted shell</li><li>Автоматическое монтирование win разделов</li><li>Настройкая подключения к VPN</li></ol><p>Текущие системы <strong>debian, ubuntu, xubuntu</strong></p><p>Приглашаем всех, кому интересно совместно изучать linux &nbsp;и помогать новичкам.</p><p>До встречи на <a href=""http://drupal-sliot.by/node/137"">базе Фаланстера </a>18 сентября в 19:00.</p>","<p>Время идёт. Накапливаются вопросы, которые можно решать самому или которые можно решить вместе. Завтра 18 сентября Друпал-клуб собирается для линукс-вечеринки в Фаланстере.</p><p>Вопросы на повестке дня:</p>",1347901916,2,admin,sites/default/files/pictures/picture-1.jpg,"a:5:{s:13:""form_build_id"";s:37:""form-5bec586b83c4fe39bc7b4bd40c1fdde4"";s:7:""contact"";i:0;s:14:""picture_delete"";i:0;s:14:""picture_upload"";s:0:"""";s:5:""block"";a:1:{s:13:""gmap_location"";a:1:{i:0;i:1;}}}",news/252,2012-09-17T21:00:00,Europe/Minsk,UTC,date,NULL,0,1,1347891793,,0,49ab00d6-10a4-11e2-9a9e-00304862f90a,FALSE,FALSE,1349630857,,0,0,menu-drupal-zliot,0,menu,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,news,ru,1,1,1347490428,1349630857,2,1,0,0,0,0,259,1,Накануне Drupal Дня. Будь социальным!,"<p><iframe allowfullscreen="""" frameborder=""0"" height=""315"" src=""http://www.youtube.com/embed/WDPDmwPl65w"" width=""420""></iframe></p>","<p><iframe allowfullscreen="""" frameborder=""0"" height=""315"" src=""http://www.youtube.com/embed/WDPDmwPl65w"" width=""420""></iframe></p>",1347490428,2,admin,sites/default/files/pictures/picture-1.jpg,"a:5:{s:13:""form_build_id"";s:37:""form-5bec586b83c4fe39bc7b4bd40c1fdde4"";s:7:""contact"";i:0;s:14:""picture_delete"";i:0;s:14:""picture_upload"";s:0:"""";s:5:""block"";a:1:{s:13:""gmap_location"";a:1:{i:0;i:1;}}}",news/251,2012-09-12T21:00:00,Europe/Minsk,UTC,date,NULL,0,1,1347490428,,0,49b0a252-10a4-11e2-9a9e-00304862f90a,FALSE,FALSE,1349630857,,0,0,menu-drupal-zliot,0,menu,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,news,,1,1,1346516793,1349630857,2,1,0,0,0,0,258,1,Запуск сайта Фаланстера,"<p><strong>Очередная внеочередная встреча Drupal-клуба в понедельник, 3 сентября, в 19.00 на базе Фаланстера. </strong></p><p>Торжественный момент запуска сайта Фаланстера наступает! Создавая сайт, изучали множество модулей, деталей, тонкостей Drupal 7. Месяцы ушли на создание и изучение..</p><p>На встрече уделим внимание переселению сайта Фаланстера на продакшн сервер и шлифовке мелочей.</p><p>Также обсуждаем предстоящий День Изучения Drupal, задачи и роли участников. Напоминаем, что на <a href=""http://drupal-sliot.by/news/247"">Дне Изучения Drupal</a>&nbsp;(14 сентября) будет создаваться сайт.</p><p>Участвуйте в рождении еще одного сайта на Drupal!</p>","<p><strong>Очередная внеочередная встреча Drupal-клуба в понедельник, 3 сентября, в 19.00 на базе Фаланстера. </strong></p><p>Торжественный момент запуска сайта Фаланстера наступает! Создавая сайт, изучали множество модулей, деталей, тонкостей Drupal 7. Месяцы ушли на создание и изучение..</p><p>На встрече уделим внимание переселению сайта Фаланстера на продакшн сервер и шлифовке мелочей.</p>",1346526196,2,admin,sites/default/files/pictures/picture-1.jpg,"a:5:{s:13:""form_build_id"";s:37:""form-5bec586b83c4fe39bc7b4bd40c1fdde4"";s:7:""contact"";i:0;s:14:""picture_delete"";i:0;s:14:""picture_upload"";s:0:"""";s:5:""block"";a:1:{s:13:""gmap_location"";a:1:{i:0;i:1;}}}",news/250,2012-08-31T21:00:00,Europe/Minsk,UTC,date,NULL,0,1,1346516793,,0,49b6b782-10a4-11e2-9a9e-00304862f90a,FALSE,FALSE,1349630857,,0,0,menu-drupal-zliot,0,menu,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,news,ru,1,1,1345726020,1349630857,2,1,0,0,0,0,257,1,Линуксовка в Drupal-клубе,"<p><strong>В пятницу - 24 августа - пройдёт Линуксовка в Друпал-клубе.</strong><br /><br />Мы поднимаем следующие вопросы:<br />1. Установка линукс - убунту? второй системой.<br />2. Установка фотошопа, корела и других Adobe-продуктов в Linux (и рассмотрение программ аналогов).<br />3. Debian 6: проблемы со звуком в скайпе, не обновляется firefox, принтер не берёт большие файлы.<br />4. На закуску серверные фичи: eaccelerator, memcache, varnish, nginx и solr.</p><p><strong>Почему мы решили делать линуксовки?</strong><br /><br />На протяжении встреч клуба накапливалось множество задач, связанных с работой сервера, который работает на Centos. Участники клуба начали постепенно переходить на открытую систему Linux и столкнулись с новым миром. Кто-то выбирает Ubuntu, кто-то Debian.<br /><br />Впереди &quot;непаханное поле&quot; свободных открытых систем и ПО.</p><p>Начинаем 24 августа&nbsp;в 19:00<br />По традиционному адресу: <a href=""http://drupal-sliot.by/node/137"">Захарова 77а, ком 2б</a></p><p>Приглашаем линуксоидов и тех, кто хочет погрузиться с нами в СПО-сообщество.</p>","<p><strong>В пятницу - 24 августа - пройдёт Линуксовка в Друпал-клубе.</strong><br /><br />Мы поднимаем следующие вопросы:<br />1. Установка линукс - убунту? второй системой.<br />2. Установка фотошопа, корела и других Adobe-продуктов в Linux (и рассмотрение программ аналогов).<br />3. Debian 6: проблемы со звуком в скайпе, не обновляется firefox, принтер не берёт большие файлы.<br />4. На закуску серверные фичи: eaccelerator, memcache, varnish, nginx и solr.</p>",1345726768,2,admin,sites/default/files/pictures/picture-1.jpg,"a:5:{s:13:""form_build_id"";s:37:""form-5bec586b83c4fe39bc7b4bd40c1fdde4"";s:7:""contact"";i:0;s:14:""picture_delete"";i:0;s:14:""picture_upload"";s:0:"""";s:5:""block"";a:1:{s:13:""gmap_location"";a:1:{i:0;i:1;}}}",news/249,2012-08-22T21:00:00,Europe/Minsk,UTC,date,NULL,0,1,1348575780,,1,49bd0718-10a4-11e2-9a9e-00304862f90a,FALSE,FALSE,1349630857,,0,0,menu-drupal-zliot,0,menu,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,news,,1,1,1344929065,1349630857,2,1,0,0,0,0,255,1,Глобальный День Изучения Drupal - 2,"<p><strong>14 сентября Drupal-клуб второй раз присоединится к глобальному <a href=""https://drupal.org/learn-drupal"">Дню Изучения Drupal</a> и начнёт свой следующий сезон.</strong></p><p><strong><img alt="""" src=""/sites/default/files/custom_images/news/global_drupal_day_2_fin_mini.jpg"" style=""width: 430px; height: 338px; margin-top: 10px; margin-bottom: 10px; "" /></strong></p><p>На встрече 14 сентября участники клуба продемонстрируют процесс сборки сайта для некоммерческого проекта.</p><p>В течение четырёх часов мы будем заниматься:<br />1. Формированием структуры и функционала сайта (составление ТЗ) -&nbsp;30 минут.<br />2. Сборкой профиля модулей, необходимых для выполения задачи (только contrib modules) - 2 часа.<br />3. Параллельно будет вестись администрирование виртуального сервера и среды через такие технологии, как drush, shell и git.<br />4. Напоследок проведём базовую темизацию и тестирование (установка логотипа, шрифтов, футера, кнопок) - 1 час.</p><p><strong>Наша цель</strong> - раскрыть возможности самых популярных модулей&nbsp;Drupal 7, показать работу над проектом в команде, втянуть вас в деятельность клуба, а также сделать полезный проект.<br /><br />День ориентирован на широкий круг пользователей, как знакомых, так и незнакомых с системой Drupal.</p><p>Для участия в мероприятии необходимо заполнить <a href=""http://drupal-sliot.by/learn-drupal-quiz"">анкету</a>.</p><p>Начинаем в 18:00. Продолжительность - 4 часа.<br />Всё, что будет проходить во время встречи, можно наблюдать в видеорежиме на сайте <a href=""http://zabej.info/video"">zabej.info</a> и твиттер-канале под хэштегами <a href=""https://twitter.com/#%21/search/%23learndrupal"">#learndrupal</a>, <a href=""https://twitter.com/#%21/search/%23drupal"">#drupal</a> пользователя <a href=""https://twitter.com/zabej_group"">@zabej_group</a></p><p>Приглашаем увидеть, как создаются стартапы на Drupal!</p><p><strong>Место встречи:</strong> г.Минск, ул. Захарова, 77а, ком. 2б. <strong>&quot;Фаланстер&quot;</strong><br />Контактный номер: <strong>+375 29 1274267</strong></p>","<p><strong>14 сентября Drupal-клуб второй раз присоединится к глобальному <a href=""https://drupal.org/learn-drupal"">Дню Изучения Drupal</a> и начнёт свой следующий сезон.</strong></p><p><strong><img alt="""" src=""/sites/default/files/custom_images/news/global_drupal_day_2_fin_mini.jpg"" style=""width: 430px; height: 338px; margin-top: 10px; margin-bottom: 10px; "" /></strong></p><p>На встрече 14 сентября участники клуба продемонстрируют процесс сборки сайта для некоммерческого проекта.</p>",1345492577,2,admin,sites/default/files/pictures/picture-1.jpg,"a:5:{s:13:""form_build_id"";s:37:""form-5bec586b83c4fe39bc7b4bd40c1fdde4"";s:7:""contact"";i:0;s:14:""picture_delete"";i:0;s:14:""picture_upload"";s:0:"""";s:5:""block"";a:1:{s:13:""gmap_location"";a:1:{i:0;i:1;}}}",news/247,2012-08-13T21:00:00,Europe/Minsk,UTC,date,NULL,0,1,1344929065,,0,49c31f54-10a4-11e2-9a9e-00304862f90a,FALSE,FALSE,1349630857,,0,0,menu-drupal-zliot,0,menu,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,news,,1,1,1345109722,1349630857,2,1,0,0,0,0,256,1,Drupal-терапия,"<p><img alt="""" src=""/sites/default/files/custom_images/news/dr_stens_terapia.jpg"" style=""width: 430px; height: 251px; margin-top: 10px; margin-bottom: 10px; "" /></p><p><strong>Не будем ждать Всемирного Дня.</strong><br /><strong>Встречаемся изучать&nbsp;Drupal&nbsp;в воскресенье 19 августа в 18.00 и лечим симптомы летней лени новой порцией знаний!</strong></p><p>На встрече будем настраивать модули openstreetmap, rules, meta tags, fontyouface. Снова и снова возвращаемся к темизации в Omega. Решаем проблемы с git и drush.</p><p>Также после встречи обсудим участие клуба во Всемирном Дне Изучения Drupal 14 сентября.</p><p>Drupal - оздоравливающий комплекс модулей для Вашего мозга!</p>","<p><img alt="""" src=""/sites/default/files/custom_images/news/dr_stens_terapia.jpg"" style=""width: 430px; height: 251px; margin-top: 10px; margin-bottom: 10px; "" /></p><p><strong>Не будем ждать Всемирного Дня.</strong><br /><strong>Встречаемся изучать&nbsp;Drupal&nbsp;в воскресенье 19 августа в 18.00 и лечим симптомы летней лени новой порцией знаний!</strong></p><p>На встрече будем настраивать модули openstreetmap, rules, meta tags, fontyouface. Снова и снова возвращаемся к темизации в Omega. Решаем проблемы с git и drush.</p>",1345114197,2,admin,sites/default/files/pictures/picture-1.jpg,"a:5:{s:13:""form_build_id"";s:37:""form-5bec586b83c4fe39bc7b4bd40c1fdde4"";s:7:""contact"";i:0;s:14:""picture_delete"";i:0;s:14:""picture_upload"";s:0:"""";s:5:""block"";a:1:{s:13:""gmap_location"";a:1:{i:0;i:1;}}}",news/248,2012-08-15T21:00:00,Europe/Minsk,UTC,date,NULL,0,1,1345109722,,0,49c977fa-10a4-11e2-9a9e-00304862f90a,FALSE,FALSE,1349630857,,0,0,menu-drupal-zliot,0,menu,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
