nid,type,language,uid,status,created,changed,comment,promote,moderate,sticky,tnid,translate,vid,revision_uid,title,body,teaser,revision_timestamp,format,name,picture,data,path,field_date['0']['value'],field_date['0']['timezone'],field_date['0']['timezone_db'],field_date['0']['date_type'],field_image['0'],signup,has_body,last_comment_timestamp,last_comment_name,comment_count,uuid,revision_uuid,is_new,timestamp,menu['link_title'],menu['mlid'],menu['plid'],menu['menu_name'],menu['weight'],menu['module'],menu['expanded'],menu['hidden'],menu['has_children'],menu['customized'],menu['parent_depth_limit'],log,files['150']->fid,files['150']->uid,files['150']->filename,files['150']->filepath,files['150']->filemime,files['150']->filesize,files['150']->status,files['150']->timestamp,files['150']->nid,files['150']->vid,files['150']->description,files['150']->list,files['150']->weight,files['150']->new,files['150']->node_export_file_path,files['141']->fid,files['141']->uid,files['141']->filename,files['141']->filepath,files['141']->filemime,files['141']->filesize,files['141']->status,files['141']->timestamp,files['141']->nid,files['141']->vid,files['141']->description,files['141']->list,files['141']->weight,files['141']->new,files['141']->node_export_file_path
257,news,ru,1,1,1349708056,1349709771,2,1,0,0,0,0,265,1,Перед стартом третьего сезона,"<p>Невозможно изучать Drupal по сезонам. В клубе изучали его постоянно. Сезоны - это лишь повод обозначить себя как-то для тех, кто решил изучать друпал не просто как ремесленник, а как человек стремящийся к познанию мира вокруг через Drupal и ищет единомышленников.</p><p>Итак. В среду, 10 октября, 19:00 встречаемся для работы над сайтом Слёта. Внешнего вида этого сайта.</p><p>На повестке:</p><ol><li>Продолжаем темизацию</li><li>Переносим содержимое с 6 на 7 версию</li><li>Тестируем</li><li>Заполняем страницы.</li><li>Загружаем на продакш сервер.</li></ol><p>Вы ещё можете влиться в команду создателей и оставить свой след в развитии истории беларусского drupal-cообщества.</p><p>Место: http://drupal-sliot.by/node/137</p>","<p>Невозможно изучать Drupal по сезонам. В клубе изучали его постоянно. Сезоны - это лишь повод обозначить себя как-то для тех, кто решил изучать друпал не просто как ремесленник, а как человек стремящийся к познанию мира вокруг через Drupal и ищет единомышленников.</p><p>Итак. В среду, 10 октября, 19:00 встречаемся для работы над сайтом Слёта. Внешнего вида этого сайта.</p><p>На повестке:</p>",1349708523,2,admin,sites/default/files/pictures/picture-1.jpg,"a:5:{s:13:""form_build_id"";s:37:""form-5bec586b83c4fe39bc7b4bd40c1fdde4"";s:7:""contact"";i:0;s:14:""picture_delete"";i:0;s:14:""picture_upload"";s:0:"""";s:5:""block"";a:1:{s:13:""gmap_location"";a:1:{i:0;i:1;}}}",news/257,2012-10-07T21:00:00,Europe/Minsk,UTC,date,NULL,0,1,1349708056,NULL,0,0630783c-115c-11e2-9a9e-00304862f90a,FALSE,FALSE,1349709771,,0,0,menu-drupal-zliot,0,menu,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,news,ru,1,1,1330541007,1349630859,2,1,0,0,195,0,210,1,Drupal: приди и  переведи!,"<p style=""text-align: right; ""><em>Лузеры строят огороженные сады, а победители - площади.</em></p><p><strong>Фаланстер объявляет конкурс по переводу Drupal-ядра с английского языка на белорусский.</strong><br/><img alt="""" src=""/sites/default/files/custom_images/konkurs/afisha_1200x1600_by_12.jpg"" style=""width: 204px; height: 273px; margin: 5px; float: left;"" />С началом зимы все желающие изучали систему создания сайтов Drupal. За это время прошло много встреч клуба и состоялся Drupal-слёт. Но сейчас не время останавливаться. Активисты Фаланстера двигаются дальше и объявляют конкурс перевода, который будет проходить на протяжении марта-апреля 2012 года.</p><p><em>&quot;Мы стремимся сделать Drupal понятным для белорусскоязычных людей планеты. Расширить предметное использование и языка, и Drupal. После нам, конечно, хотелось бы, чтобы белорусские достижения переводили на многочисленные языки мира, а не наоборот. Но это в планах. Конкурсом мы хотим сделать первый шаг для того, чтобы лучше понимать мир. Создаем возможность его понимать&quot;,</em> - делится координатор конкурса Михаил.</p><p>Друпалеров, лингвистов, программистов, студентов приглашаем присоединиться к вызову весны от Фаланстера.</p><p>Конкурс состоит <a href=""http://konkurs/grafik"">из трех этапов</a>:</p><p>&nbsp;&nbsp;&nbsp; 1. Презентация о том, как переводить<br />&nbsp;&nbsp;&nbsp; 2. Перевод в реальном времени<br />&nbsp;&nbsp;&nbsp; 3. Подведение итогов</p><p>Для того, что участвовать, необходимо <a href=""http://drupal-sliot.by/konkurs/pravila"">ознакомиться с правилами</a>, <a href=""http://drupal-sliot.by/konkurs/zajava"">заполнить анкету</a> и начать переводить.</p><p>Вместе мы переведем ядро Drupal и основные модули. Хватит пользоваться и потреблять - нужно действовать!</p><p><strong>Мы готовы внести свой вклад в развитие мирового сообщества. А вы?</strong></p><p>Подробности <a href=""/konkurs"">на странице конкурса</a></p><p><br /><br />&nbsp;</p>","<p style=""text-align: right; ""><em>Лузеры строят огороженные сады, а победители - площади.</em></p>",1349630859,3,admin,sites/default/files/pictures/picture-1.jpg,"a:5:{s:13:""form_build_id"";s:37:""form-5bec586b83c4fe39bc7b4bd40c1fdde4"";s:7:""contact"";i:0;s:14:""picture_delete"";i:0;s:14:""picture_upload"";s:0:"""";s:5:""block"";a:1:{s:13:""gmap_location"";a:1:{i:0;i:1;}}}",news/202,2012-02-22T22:00:00,Europe/Minsk,UTC,date,NULL,0,1,1330541007,,0,4aeb00d6-10a4-11e2-9a9e-00304862f90a,NULL,,,,0,0,menu-drupal-zliot,0,menu,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,news,ru,1,1,1323902094,1349630859,2,1,0,0,138,0,146,1,Drupal-клуб. Делаем сайт с нуля,"<p><span><span class=""full_text""><strong>Внимание! </strong>С декабря в Клубе открылась дополнительная секция. Здесь наиболее мотивированные участники занимаются разработкой сайта Фаланстера с нуля, проходя каждый этап разработки: от проектирования до реализации.</span></span></p><p><span><span class=""full_text"">О времени и месте встреч читать здесь:</span></span> http://drupal-sliot.by/club</p>","<p><span><span class=""full_text""><strong>Внимание! </strong>С декабря в Клубе открылась дополнительная секция. Здесь наиболее мотивированные участники занимаются разработкой сайта Фаланстера с нуля, проходя каждый этап разработки: от проектирования до реализации.</span></span></p><p><span><span class=""full_text"">О времени и месте встреч читать здесь:</span></span> http://drupal-sliot.by/club</p>",1349630859,2,admin,sites/default/files/pictures/picture-1.jpg,"a:5:{s:13:""form_build_id"";s:37:""form-5bec586b83c4fe39bc7b4bd40c1fdde4"";s:7:""contact"";i:0;s:14:""picture_delete"";i:0;s:14:""picture_upload"";s:0:"""";s:5:""block"";a:1:{s:13:""gmap_location"";a:1:{i:0;i:1;}}}",news/138,2012-01-10T22:00:00,Europe/Minsk,UTC,date,NULL,0,1,1323902094,,0,4afa45dc-10a4-11e2-9a9e-00304862f90a,NULL,,,,0,0,menu-drupal-zliot,0,menu,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,news,be,1,1,1329947311,1349630859,2,1,0,0,195,0,203,1,Drupal: прыйдзі і перакладзі!,"<p><em>Лузеры будуюць абгароджаныя сады, а пераможцы - плошчы.</em><br /><br /><strong>Фаланстэр аб&#39;яўляе конкурс перакладу Drupal-ядра з англійскай мовы на беларускую.</strong><br /><br /><img alt="""" src=""/sites/default/files/custom_images/konkurs/afisha_1200x1600_by_12.jpg"" style=""width: 204px; height: 273px; margin: 5px; float: left;"" />З пачаткам зімы ўсе жадаючыя вывучалі сістэму стварэння сайтаў Drupal. За гэты час прайшло шмат сустрэч клубу і адбыўся Drupal-злёт. Але зараз не час спыняцца. Актывісты Фаланстэра рухаюцца далей і абвяшчаюць конкурс перакладу, які<br />будзе праходзіць на працягу сакавіка-красавіка 2012 году.<br /><br /><em>&ldquo;Мы імкнемся зрабіць Drupal зразумелым для беларускамоўных людзей планеты. Пашырыць прадметнае выкарыстанне і мовы, і Drupal. Пасля нам, канешне, хацелася б, каб беларускія дасягненні перекладалі на шматлікія мовы свету, а не наадварот. Але гэта у будучых планах.&nbsp; Конкурсам мы робім першы крок для таго, каб лепей разумець свет. Ствараем магчымасць яго разумець&rdquo;,</em>&nbsp;- дзеліцца каардынатар конкурсу Міхась.<br /><br />Друпалераў, лінгвістаў, праграмістаў, студэнтаў запрашаем далучыцца да выкліку вясны ад Фаланстэра.<br /><br /><strong>Конкурс складаецца з трох этапаў:</strong></p><p>&nbsp;&nbsp;&nbsp; 1. Прэзентацыя пра тое, як перакладаць<br />&nbsp;&nbsp;&nbsp; 2. Пераклад у рэальным часе<br />&nbsp;&nbsp;&nbsp; 3. Падвядзенне вынікаў</p><p>Для таго, каб удзельнічаць, неабходна <a href=""http://drupal-sliot.by/konkurs/pravila"">азнаёміцца з правіламі</a>, <a href=""http://drupal-sliot.by/konkurs/zajava"">запоўніць анкету</a> і пачаць перакладаць.<br />Разам мы перакладзем ядро Drupal і асноўныя модулі. Хопіць карыстацца ды спажываць - трэба дзейнічаць!<br /><br /><strong>Мы гатовыя ўнесці свой уклад ў развіццё сусветнай супольнасці. А вы?</strong><br />Падрабязнасці <a href=""/konkurs"">на старонцы конкурсу.</a><br /><br />&nbsp;</p>","<p><em>Лузеры будуюць абгароджаныя сады, а пераможцы - плошчы.</em><br /><br /><strong>Фаланстэр аб&#39;яўляе конкурс перакладу Drupal-ядра з англійскай мовы на беларускую.</strong><br /><br /><img alt="""" src=""/sites/default/files/custom_images/konkurs/afisha_1200x1600_by_12.jpg"" style=""width: 204px; height: 273px; margin: 5px; float: left;"" />З пачаткам зімы ўсе жадаючыя вывучалі сістэму стварэння сайтаў Drupal. За гэты час прайшло шмат сустрэч клубу і адбыўся Drupal-злёт. Але зараз не час спыняцца. Актывісты Фаланстэра рухаюцца далей і абвяшчаюць конкурс перакладу, які",1349630859,3,admin,sites/default/files/pictures/picture-1.jpg,"a:5:{s:13:""form_build_id"";s:37:""form-5bec586b83c4fe39bc7b4bd40c1fdde4"";s:7:""contact"";i:0;s:14:""picture_delete"";i:0;s:14:""picture_upload"";s:0:"""";s:5:""block"";a:1:{s:13:""gmap_location"";a:1:{i:0;i:1;}}}",news/195,2012-02-22T22:00:00,Europe/Minsk,UTC,date,NULL,0,1,1329947311,,0,4af392f0-10a4-11e2-9a9e-00304862f90a,NULL,,,,0,0,menu-drupal-zliot,0,menu,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,news,,1,1,1330549190,1349630859,2,1,0,0,0,0,211,1,Відэа. Як пачаць перакладаць? ,"Вырашылі прыняць удзел, але не ведаеце з чаго пачаць? Глядзіце!
<iframe width=""420"" height=""315"" src=""http://www.youtube.com/embed/pSYPBBjXXlw"" frameborder=""0"" allowfullscreen></iframe>","Вырашылі прыняць удзел, але не ведаеце з чаго пачаць? Глядзіце!
<iframe width=""420"" height=""315"" src=""http://www.youtube.com/embed/pSYPBBjXXlw"" frameborder=""0"" allowfullscreen></iframe>",1349630859,3,admin,sites/default/files/pictures/picture-1.jpg,"a:5:{s:13:""form_build_id"";s:37:""form-5bec586b83c4fe39bc7b4bd40c1fdde4"";s:7:""contact"";i:0;s:14:""picture_delete"";i:0;s:14:""picture_upload"";s:0:"""";s:5:""block"";a:1:{s:13:""gmap_location"";a:1:{i:0;i:1;}}}",news/203,2012-02-29T22:00:00,Europe/Minsk,UTC,date,NULL,0,1,1330549190,,0,4ae4a0c4-10a4-11e2-9a9e-00304862f90a,NULL,,,,0,0,menu-drupal-zliot,0,menu,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,news,,1,1,1330266890,1349630859,2,1,0,0,0,0,206,1,"Конкурс ""Пераклад Drupal"". Прэзентацыя","<p><strong>Першая сустрэча ў межах конкурса &quot;Пераклад Drupal&quot; адбудзецца 4 сакавіка ў &quot;Арт-сядзібе&quot;.</strong></p><p>Актывісты Фаланстэра запрашаюць жадаючых далучыцца да перакладу Drupal на беларускую мову. На першым мерапрыемстве вы зможаце даведацца, што такое Drupal, навошта яго перакладаць і як гэта рабіць? Таксама будзе праведзены майстар-клас па ўсталяванню Drupal.</p><p><strong>Мы чакаем вас 4 сакавіка а 16.00 у &quot;Арт-сядзібе&quot;</strong> па адрасе: вул. Куйбышава, 22, гандлёвы дом &quot;Гарызонт&quot;, другі паверх.<br />Працягласць сустрэчы - 2 гадзіны</p><p>Прыходзь сам ды прыводзь сяброў!</p><p>Не чакайце нядзелі, <a href=""http://drupal-sliot.by/konkurs"">пачынайце дзейнічаць</a> ужо зараз!</p>","<p><strong>Першая сустрэча ў межах конкурса &quot;Пераклад Drupal&quot; адбудзецца 4 сакавіка ў &quot;Арт-сядзібе&quot;.</strong></p><p>Актывісты Фаланстэра запрашаюць жадаючых далучыцца да перакладу Drupal на беларускую мову. На першым мерапрыемстве вы зможаце даведацца, што такое Drupal, навошта яго перакладаць і як гэта рабіць? Таксама будзе праведзены майстар-клас па ўсталяванню Drupal.</p><p><strong>Мы чакаем вас 4 сакавіка а 16.00 у &quot;Арт-сядзібе&quot;</strong> па адрасе: вул. Куйбышава, 22, гандлёвы дом &quot;Гарызонт&quot;, другі паверх.<br />Працягласць сустрэчы - 2 гадзіны</p>",1349630859,2,admin,sites/default/files/pictures/picture-1.jpg,"a:5:{s:13:""form_build_id"";s:37:""form-5bec586b83c4fe39bc7b4bd40c1fdde4"";s:7:""contact"";i:0;s:14:""picture_delete"";i:0;s:14:""picture_upload"";s:0:"""";s:5:""block"";a:1:{s:13:""gmap_location"";a:1:{i:0;i:1;}}}",news/198,2012-02-25T22:00:00,Europe/Minsk,UTC,date,NULL,0,1,1330266890,,0,4adde4a0-10a4-11e2-9a9e-00304862f90a,NULL,,,,0,0,menu-drupal-zliot,0,menu,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,news,,1,1,1336234177,1349630858,2,1,0,0,0,0,219,1,Вышло обновление Drupal 7,"<p>Теперь текущая версия <a href=""http://ftp.drupal.org/files/projects/drupal-7.14.tar.gz"">Drupal 7.14</a>. Убран ряд ошибок в безопасности, оптимизированы java-скрипты.</p><p>Подробнее о всех изменениях можно читать здесь: http://drupal.org/node/1558424</p><p>Обновить текущую версию, используя Drush 5.x, можно командой</p><p><em><strong>drush up drupal </strong></em></p><p>все её возможности изучайте здесь: http://drush.ws/#pm-update</p>","<p>Теперь текущая версия <a href=""http://ftp.drupal.org/files/projects/drupal-7.14.tar.gz"">Drupal 7.14</a>. Убран ряд ошибок в безопасности, оптимизированы java-скрипты.</p><p>Подробнее о всех изменениях можно читать здесь: http://drupal.org/node/1558424</p><p>Обновить текущую версию, используя Drush 5.x, можно командой</p><p><em><strong>drush up drupal </strong></em></p><p>все её возможности изучайте здесь: http://drush.ws/#pm-update</p>",1349630858,2,admin,sites/default/files/pictures/picture-1.jpg,"a:5:{s:13:""form_build_id"";s:37:""form-5bec586b83c4fe39bc7b4bd40c1fdde4"";s:7:""contact"";i:0;s:14:""picture_delete"";i:0;s:14:""picture_upload"";s:0:"""";s:5:""block"";a:1:{s:13:""gmap_location"";a:1:{i:0;i:1;}}}",news/211,2012-05-04T21:00:00,Europe/Minsk,UTC,date,NULL,0,1,1336234177,,0,4a8dea04-10a4-11e2-9a9e-00304862f90a,NULL,,,,0,0,menu-drupal-zliot,0,menu,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,news,ru,1,1,1338566140,1349630858,2,1,0,0,0,0,233,1,Исправляем ошибки,"<p>Основные модули уже успешно установлены на сайт Фаланстера. Доделываются особенности. Самое вкусное - на десерт) <!--break-->На пятой встрече был изменен формат проведения: работали не над одной задачей все вместе, а каждому определили свою. Смена режима пошла на пользу, увеличились производительность и интерес. Время пролетело, и, к всеобщему сожалению, встреча завершилась, когда закончился трафик 3G-модема на роутере Фаланстера. Рассматривали disqus, работали с локализацией белорусского языка, интеграцией google-календаря. Пришлось повозиться с ошибками модуля image i hierarchical select после недавнего обновления ядра. Куда без них! Совет дня: паролирование папки, где лежит сайт разработки, помогает сделать процесс создания более защищённым, но внешние сервисы (например, disqus) не работают. Нужно распароливаться. Следующий раз будем работать над проектом, а также затронем работу в интегрированной среда разработки (IDE NetBeans), мультизагрузчики в Drupal и др. Следите за сайтом.</p>",<p>Основные модули уже успешно установлены на сайт Фаланстера. Доделываются особенности. Самое вкусное - на десерт) ,1349630858,1,admin,sites/default/files/pictures/picture-1.jpg,"a:5:{s:13:""form_build_id"";s:37:""form-5bec586b83c4fe39bc7b4bd40c1fdde4"";s:7:""contact"";i:0;s:14:""picture_delete"";i:0;s:14:""picture_upload"";s:0:"""";s:5:""block"";a:1:{s:13:""gmap_location"";a:1:{i:0;i:1;}}}",news/225,2012-05-30T21:00:00,Europe/Minsk,UTC,date,NULL,0,1,1338566140,,0,4a55f3f6-10a4-11e2-9a9e-00304862f90a,NULL,,,,0,0,menu-drupal-zliot,0,menu,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,news,,1,1,1335265527,1349630858,2,1,0,0,0,0,217,1,Организационная встреча Drupal-клуба,"<p><strong>25 апреля в 19:00 состоится организационная встреча Drupal-клуба.</strong></p><p>На встрече обсудим:</p><p>1. <a href=""http://zabej.info/afisha/1083"">Тезисы клуба</a>.<br />2. Основную программу: темы, модули, технологии, направления.<br />3. Определим формат клуба: продолжительность, количество встреч, анкеты.<br />4. Разделим задачи.<br /><br />Приглашаем всем, кто заинтересован максимально участвовать в Клубе.</p><p>Планируется пилотная видеотрансляция. Ссылку трансляции появится позже.</p><p><a href=""http://drupal-sliot.by/node/137"">Место проведения: ул.Захарова, 77а, ком. 2б</a></p>","<p><strong>25 апреля в 19:00 состоится организационная встреча Drupal-клуба.</strong></p><p>На встрече обсудим:</p><p>1. <a href=""http://zabej.info/afisha/1083"">Тезисы клуба</a>.<br />2. Основную программу: темы, модули, технологии, направления.<br />3. Определим формат клуба: продолжительность, количество встреч, анкеты.<br />4. Разделим задачи.<br /><br />Приглашаем всем, кто заинтересован максимально участвовать в Клубе.</p><p>Планируется пилотная видеотрансляция. Ссылку трансляции появится позже.</p>",1349630858,3,admin,sites/default/files/pictures/picture-1.jpg,"a:5:{s:13:""form_build_id"";s:37:""form-5bec586b83c4fe39bc7b4bd40c1fdde4"";s:7:""contact"";i:0;s:14:""picture_delete"";i:0;s:14:""picture_upload"";s:0:"""";s:5:""block"";a:1:{s:13:""gmap_location"";a:1:{i:0;i:1;}}}",news/209,2012-04-23T21:00:00,Europe/Minsk,UTC,date,NULL,0,1,1335265527,,0,4a97aec2-10a4-11e2-9a9e-00304862f90a,NULL,,,,0,0,menu-drupal-zliot,0,menu,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,news,ru,1,1,1338109183,1349630858,2,1,0,0,0,0,232,1,Drupal-клуб 2.5. Анонс. Допиливаем Omega и галереи. Продолжение,"В cледующую среду (30.05). В том же месте (база Фаланстера). В то же время (18.30). Drupal-клуб. Продолжаем допиливать подтему Omega и ищем подходящую галерею для 7-ки.

Внимательный зритель наших трансляций мог заметить, что процесс креатива с сайтом Фаланстера идет открыто и занимательно. 

На предстоящей встрече будут рассматриваться такие вопросы:
 - работа с медиагалереями,
 - мультиаплоад,
 - ajax,
 - работа с css и Omega для блоков социальных сетей,
 - исследования с сеткой Omega.

Атмосфера планируется горячей. Смотрите трансляцию встречи на сайте zabej.info

Приходите. Присоединяйтесь!","В cледующую среду (30.05). В том же месте (база Фаланстера). В то же время (18.30). Drupal-клуб. Продолжаем допиливать подтему Omega и ищем подходящую галерею для 7-ки.

Внимательный зритель наших трансляций мог заметить, что процесс креатива с сайтом Фаланстера идет открыто и занимательно. 

На предстоящей встрече будут рассматриваться такие вопросы:
 - работа с медиагалереями,
 - мультиаплоад,
 - ajax,
 - работа с css и Omega для блоков социальных сетей,
 - исследования с сеткой Omega.

Атмосфера планируется горячей. Смотрите трансляцию встречи на сайте zabej.info
",1349630858,1,admin,sites/default/files/pictures/picture-1.jpg,"a:5:{s:13:""form_build_id"";s:37:""form-5bec586b83c4fe39bc7b4bd40c1fdde4"";s:7:""contact"";i:0;s:14:""picture_delete"";i:0;s:14:""picture_upload"";s:0:"""";s:5:""block"";a:1:{s:13:""gmap_location"";a:1:{i:0;i:1;}}}",news/224,2012-05-26T21:00:00,Europe/Minsk,UTC,date,NULL,0,1,1338109183,,0,4a65108e-10a4-11e2-9a9e-00304862f90a,NULL,,,,0,0,menu-drupal-zliot,0,menu,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
